id,label,sex,birth,type
LCI,Lions Clubs International,0,na,1
ArMa,Arbeitsgericht Mannheim,0,na,1
VDPMUE,Verband der Pfaelzischen Metall- und Elektroindustrie e. V.,0,na,1
BDS,Bauen digital Schweiz,0,na,1
EnSt,Enterprise Stiftung,0,na,1
KaRo,Kantonsschule Romanshorn,0,na,1
TSFWF,Thurgauische Stiftung fuer Wissenschaft und Forschung,0,na,1
AH,Architektenkammer Hessen,0,na,1
BDA,Bund Deutscher Architekten,0,na,1
KAKIK,Kasseler Architekturzentrum im Kulturbahnhof,0,na,1
B,Bundesarchitektenkammer e.V.,0,na,1
PBGZDDPBUB,"planen-bauen 4.0 – Gesellschaft zur Digitalisierung des Planens, Bauens und Betreibens mbH",0,na,1
DIFN,Deutsches Institut fuer Normung,0,na,1
BFB,Bundesverband freier Berufe,0,na,1
BuBa,Bundesstiftung Baukultur,0,na,1
DSD,Deutsche Stiftung Denkmalschutz,0,na,1
IFS,Institut fuer Stadtbaukunst,0,na,1
ETHWPF,ETH Women Professors Forum,0,na,1
FRS,Future Resilience System,0,na,1
CFROED,Center for Research on Environmental Decisions,0,na,1
OEBUVNW,Oebu - Verband fuer nachhaltiges Wirtschaften,0,na,1
SN,Schweizerische Nationalbank ,0,na,1
KSA,KS Aktiengesellschaft,0,na,1
CHBS,C.H. Boehringer Sohn AG und Co. KG,0,na,1
FIFAUIS,Fraunhofer-Institut fuer Angewandte und Integrierte Sicherheit,0,na,1
CFASRD,Center for Advanced Security Research Darmstadt,0,na,1
VFDF,Verein zur Foerderung eines Deutschen Forschungsnetzes e. V.,0,na,1
OFFISII,OFFIS – Institut fuer Informatik,0,na,1
BITUNM,"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien",0,na,1
ESB,Einstein-Stiftung Berlin,0,na,1
ADADT,acatech – Deutsche Akademie der Technikwissenschaften,0,na,1
BADW,Bayerische Akademie der Wissenschaften,0,na,1
VDV,Vereinte Dienstleistungsgewerkschaft verdi,0,na,1
StKa,Stadt Karlsruhe,0,na,1
TUB,Technischen Universitaet Berlin,0,na,1
MPI,Max-Planck-Institut,0,na,1
ALS,Alcatel-Lucent Stiftung,0,na,1
JQS,Johanna-Quandt-Stiftung,0,na,1
BMWSHQ,BMW Stiftung Herbert Quandt,0,na,1
ED,Entrust Datacard,0,na,1
Su,Suedzucker AG,0,na,1
LAIBW,Lenkungskreis „Allianz Industrie 4.0 Baden-Wuerttemberg“,0,na,1
BaWuIn,Baden-Wuerttemberg International (bw-i),0,na,1
VDMABW,VDMA (Verband Deutscher Maschinen- und Anlagenbau) Baden-Wuerttemberg,0,na,1
TUIG,TUI Group,0,na,1
HBS,Heinrich-Boell-Stiftung,0,na,1
DEK,Deutsch Evangelischer Kirchentag,0,na,1
DSS,Dieter Schwarz Stiftung,0,na,1
EEBW,evalag Evaluationsagentur Baden-Wuerttemberg,0,na,1
PHK,Paedagogische Hochschule Karlsruhe,0,na,1
TUM,Technischen Universitaet Muenchen,0,na,1
IEK,Initiative Erfurter Kreuz e.V.,0,na,1
TF,Thex Frauensache,0,na,1
FFGJ,Freiwilligen Feuerwehr Goeppingen-Jebenhausen,0,na,1
BEB,Bundesverbandes Energiespeicher e. V. Berlin,0,na,1
We,Welthungerhilfe,0,na,1
UU,Universitaet Ulm,0,na,1
G,Gerresheimer AG,0,na,1
EISPE,Expertenverbands ISPE,0,na,1
EFB,European Family Businesses ,0,na,1
H,Henkel AG und Co. KGaA,0,na,1
DT,Deutschen Telekom AG,0,na,1
RB,Robert Bosch GmbH,0,na,1
DW,Deutschen Wissenschaftsrat,0,na,1
LMTGO,"LMT Leading Metalworking Technologies Group, Oberkochen",0,na,1
BDDA,Bundesvereinigung der Deutschen Arbeitgeberverbaende,0,na,1
ES,Europaeischer Sozialfonds,0,na,1
DDS,Diversity der Suedwestmetall,0,na,1
FIDW,Frauen in der Wirtschaft,0,na,1
HSFGSG,Hochschule fuer Gestaltung Schwaebisch Gmuend,0,na,2
HSFGK,Hochschule fuer Gestaltung Karlsruhe,0,na,2
KK,Kunstakademie Karlsruhe,0,na,2
IHSL,Internationale Hochschule Liebenzell,0,na,2
PHSW,Paedagogische Hochschule Weingarten,0,na,2
PHSF,Paedagogische Hochschule Freiburg,0,na,2
PHSH,Paedagogische Hochschule Heidelberg,0,na,2
PHSK,Paedagogische Hochschule Karlsruhe ,0,na,2
PHSS,Paedagogische Hochschule Schwaebisch Gmuend,0,na,2
PHSL,Paedagogische Hochschule Ludwigsburg,0,na,2
PHTS,Paedagogische Hochschule Thurgau Schweiz,0,na,2
HSU,Hochschule Ulm,0,na,2
HSR,Hochschule Reutlingen,0,na,2
HSDM,Hochschule der Medien,0,na,2
AkSt,Akademie der Bildenden Kuenste Stuttgart,0,na,2
HoScHe,Hochschule fuer juedische Studien Heidelberg,0,na,2
HoScKa,Hochschule fuer Musik Karlsruhe,0,na,2
HoScMa,Hochschule fuer Musik und Darstellende Kunst Mannheim,0,na,2
MHF,Musikhochschule Freiburg,0,na,2
MHS,Musikhochschule Stuttgart,0,na,2
HSM,Hochschule Mannheim,0,na,2
KIT,Karlsruher Institut fuer Technologie,0,na,2
HSH,Hochschule Heilbronn,0,na,2
HSE,Hochschule Esslingen,0,na,2
